"Timestamp","Curso","Opinión General Sobre el Curso","¿Aprobó la Cursada?","¿Cómo te Resultaron los Temas de la Materia?","¿Los Temas de la Materia Están Actualizados?","Nivel de las Clases Teóricas del Curso","Nivel de las Clases Prácticas del Curso","Dificultad del Curso","Dificultad del TP","Comentarios Sobre el Curso"
"2017/07/03 5:12:17 PM GMT-3","Computación-Cabrera","Muy Bueno","Sí","Interesantes","Sí","Buenas","Regulares","Normal","Dificil",""
"2017/07/03 5:28:08 PM GMT-3","Computación-Cabrera","Muy Bueno","Sí","Poco Interesantes","Sí","Buenas","Muy Buenas","Normal","Normal",""
"2017/07/03 5:39:56 PM GMT-3","Algoritmos y Programación 3 - Suarez","Bueno","Sí","Muy Interesantes","Sí","Buenas","Muy Buenas","Dificil","Normal",""
"2017/07/03 5:47:59 PM GMT-3","Teoría de la Programación / Teoría del Lenguaje - Wachenchauzer","Excelente","Sí","Muy Interesantes","Sí","Excelentes","Excelentes","Normal","Normal",""
"2017/07/03 6:53:06 PM GMT-3","Análisis Numérico - Gomez","Regular","No","Interesantes","Sí","Buenas","Malas","Normal","No hay TP",""
"2017/07/03 6:56:54 PM GMT-3","Algoritmos y Programación 3 - Fontela","Regular","Sí","Interesantes","Sí","Buenas","Regulares","Normal","Normal",""
"2017/07/03 6:58:52 PM GMT-3","Administración y Control de Proyectos 1 - Fontela","Muy Bueno","Sí","Interesantes","Sí","Excelentes","Buenas","Normal","Normal",""
"2017/07/03 6:59:53 PM GMT-3","Taller de Desarrollo de Proyectos 1 - Pignataro","Regular","Sí","Poco Interesantes","No","No hay clases teóricas","No Hay Clases Prácticas","Normal","Normal",""
"2017/07/03 7:00:45 PM GMT-3","Teoría de Algoritmos 1 - Wachenchauzer","Muy Bueno","Sí","Interesantes","Sí","Buenas","Excelentes","Normal","Normal",""
"2017/07/03 7:04:00 PM GMT-3","Inteligencia Artificial - Cabrera","Muy Bueno","Sí","Interesantes","Sí","Muy Buenas","Muy Buenas","Facil","Fácil",""
"2017/07/03 8:36:17 PM GMT-3","Proyectos Informáticos - Fontela","Muy Bueno","Sí","Interesantes","Sí","Excelentes","Buenas","Normal","Muy dificil","En realidad me gusto el curso, soy alumno de intercambio y me gusto, lo que único malo que note, es la falta de atención de los profesores de la práctica al explicar los temas y la información que brindan era poca para lo que pedían realizar el TP, fue lo que más me costó trabajo."
"2017/07/03 8:36:39 PM GMT-3","Aplicaciones Informáticas - Ierache","Regular","Sí","Poco Interesantes","No","No hay clases teóricas","Regulares","Facil","Muy Fácil",""
"2017/07/03 8:37:21 PM GMT-3","Teoría de la Comunicación - Caram","Regular","Sí","Interesantes","Sí","Regulares","No Hay Clases Prácticas","Normal","Fácil",""
"2017/07/03 8:38:46 PM GMT-3","Algoritmos y Programación 1 - Wachenchauzer","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Buenas","Normal","Dificil","Lo único que remarcaría negativamente es el problema del cambio de horarios que hubo al iniciar la cursada"
"2017/07/03 9:46:28 PM GMT-3","Algoritmos y Programación 3 - Fontela","Excelente","Sí","Muy Interesantes","Sí","Muy Buenas","Muy Buenas","Normal","Normal","El contenido del curso fue excelente, así como los docentes de la materia. Recomendaría que den más tiempo para el TP final."
"2017/07/03 10:10:00 PM GMT-3","Algoritmos y Programación 1 (Electrónica) - Kuhn","Muy Bueno","Sí","Interesantes","Sí","Malas","Muy Buenas","Dificil","Normal",""
